,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeHitWoodwork,awayHitWoodwork,homeCounterAttack,awayCounterAttack,homeCounterAttackShot,awayCounterAttackShot,homeCounterAttackGoal,awayCounterAttackGoal,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
0,10385741,3,11,6,1,1,1,,0,,,,0,,,0.22,0.65,0.0,0.0,45.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,12.0,12.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,237.0,294.0,201.0,249.0,28.0,26.0,17.0,13.0,6.0,5.0,0.0,1.0,15.0,12.0,8.0,10.0,74.0,74.0,28.0,42.0,4.0,7.0,12.0,17.0,5.0,4.0,10.0,9.0,7,42,0,0,1,2
1,10385483,4,3,1,1,0,0,,0,,,,0,,,0.48,0.43,0.0,0.0,35.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,0.0,0.0,10.0,9.0,7.0,8.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,154.0,286.0,105.0,239.0,30.0,29.0,15.0,16.0,6.0,17.0,2.0,4.0,5.0,12.0,3.0,8.0,68.0,82.0,34.0,33.0,11.0,10.0,10.0,6.0,6.0,5.0,16.0,4.0,60,40,1,2,0,0
17,10385491,4,0,2,4,0,2,,0,,,,0,,,0.45,0.22,0.0,0.0,62.0,3.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,379.0,227.0,346.0,188.0,14.0,32.0,10.0,18.0,8.0,6.0,2.0,0.0,10.0,7.0,5.0,4.0,61.0,62.0,24.0,18.0,8.0,5.0,9.0,8.0,7.0,3.0,7.0,10.0,31,50,1,2,0,2
98,10385509,6,9,5,1,1,0,,0,,,,0,,,0.17,1.37,0.0,0.0,32.0,1.0,5.0,2.0,1.0,0.0,4.0,2.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,5.0,7.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,1.0,145.0,305.0,109.0,275.0,27.0,18.0,11.0,11.0,8.0,18.0,2.0,2.0,6.0,11.0,4.0,7.0,57.0,67.0,32.0,27.0,7.0,6.0,15.0,8.0,4.0,5.0,21.0,4.0,48,38,0,0,1,1
114,10385501,8,9,2,2,0,0,,0,,,,0,,,0.26,1.0,0.0,0.0,48.0,3.0,4.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,10.0,10.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,205.0,226.0,159.0,181.0,20.0,36.0,10.0,19.0,11.0,8.0,1.0,4.0,4.0,15.0,1.0,10.0,77.0,69.0,16.0,26.0,5.0,2.0,7.0,9.0,9.0,10.0,5.0,12.0,34,3,1,2,1,1
130,10385502,4,12,4,1,4,3,,0,,,,0,,,0.33,0.11,0.0,0.0,28.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,8.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,139.0,370.0,86.0,301.0,34.0,48.0,10.0,27.0,13.0,10.0,4.0,1.0,3.0,7.0,1.0,3.0,78.0,99.0,23.0,18.0,9.0,7.0,10.0,3.0,5.0,1.0,15.0,7.0,43,44,1,2,0,2
131,10385511,10,6,0,0,1,1,,0,,,,0,,,0.42,1.29,0.0,0.0,62.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,4.0,11.0,13.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,2.0,259.0,157.0,209.0,108.0,31.0,32.0,15.0,12.0,4.0,6.0,1.0,4.0,7.0,5.0,3.0,3.0,71.0,69.0,15.0,20.0,2.0,2.0,5.0,11.0,8.0,7.0,5.0,5.0,35,30,0,1,2,2
212,10385498,9,4,4,2,0,0,,0,,,,0,,,0.83,0.1,0.0,0.0,65.0,6.0,0.0,5.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,6.0,11.0,13.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,5.0,261.0,139.0,204.0,89.0,24.0,31.0,11.0,9.0,13.0,4.0,6.0,1.0,11.0,9.0,8.0,3.0,81.0,75.0,35.0,23.0,10.0,6.0,9.0,8.0,8.0,8.0,7.0,22.0,39,14,0,2,0,0
228,10385518,11,4,5,1,1,1,,0,,,,0,,,0.99,0.2,0.0,0.0,59.0,5.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,280.0,194.0,234.0,154.0,38.0,28.0,26.0,8.0,18.0,9.0,3.0,2.0,3.0,8.0,1.0,4.0,75.0,67.0,24.0,22.0,7.0,5.0,13.0,6.0,2.0,6.0,6.0,15.0,33,45,2,4,1,1
244,10385514,1,16,3,1,11,3,,0,,,,0,,,0.35,1.31,0.0,0.0,22.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,8.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,113.0,403.0,81.0,373.0,22.0,26.0,1.0,15.0,4.0,12.0,2.0,1.0,2.0,8.0,0.0,4.0,44.0,50.0,9.0,18.0,2.0,9.0,4.0,2.0,7.0,1.0,10.0,4.0,37,17,0,0,1,2
260,10385503,8,7,5,1,0,0,6.7,16,0.0,0.0,6.8,15,0.0,0.0,0.37,0.34,0.0,0.0,62.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,10.0,11.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,312.0,190.0,265.0,141.0,23.0,31.0,8.0,13.0,7.0,5.0,2.0,3.0,10.0,10.0,4.0,3.0,69.0,74.0,23.0,23.0,6.0,6.0,9.0,10.0,9.0,7.0,8.0,5.0,40,48,1,2,0,1
