id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
10385741,3,11,6,1,1,1
10385483,4,3,1,1,0,0
10385491,4,0,2,4,0,2
10385509,6,9,5,1,1,0
10385501,8,9,2,2,0,0
10385502,4,12,4,1,4,3
10385511,10,6,0,0,1,1
10385498,9,4,4,2,0,0
10385518,11,4,5,1,1,1
10385483,4,3,1,1,0,0
10385491,4,0,2,4,0,2
10385509,6,9,5,1,1,0
10385501,8,9,2,2,0,0
10385511,10,6,0,0,1,1
10385498,9,4,4,2,0,0
10385518,11,4,5,1,1,1
10385514,1,16,3,1,11,3
10385491,4,0,2,4,0,2
10385511,10,6,0,0,1,1
10385514,1,16,3,1,11,3
10385503,8,7,5,1,0,0
10385500,13,4,3,6,1,1
10385530,14,0,0,5,0,0
10385510,1,4,1,1,2,0
10385503,8,7,5,1,0,0
10385527,10,4,6,0,0,1
10385743,7,5,6,1,3,1
10385737,8,8,4,0,0,2
10385528,3,10,4,1,2,0
10385500,13,4,3,6,1,1
10385530,14,0,0,5,0,0
10385510,1,4,1,1,2,0
10385525,12,5,3,3,0,1
10385527,10,4,6,0,0,1
10385743,7,5,6,1,3,1
10385737,8,8,4,0,0,2
10385528,3,10,4,1,2,0
10385525,12,5,3,3,0,1
10385740,15,3,2,2,0,2
10385528,3,10,4,1,2,0
10385740,15,3,2,2,0,2
10385739,10,7,3,1,1,0
10385520,7,9,4,1,1,1
10385519,1,11,2,0,2,1
10385539,5,9,3,1,2,0
10385543,5,10,5,1,1,0
10385537,5,4,2,0,0,2
10385738,10,5,5,4,2,2
10385739,10,7,3,1,1,0
10385538,3,6,6,0,2,5
10385520,7,9,4,1,1,1
10385519,1,11,2,0,2,1
10385539,5,9,3,1,2,0
10385543,5,10,5,1,1,0
10385537,5,4,2,0,0,2
10385532,3,14,3,1,12,1
10385738,10,5,5,4,2,2
10385538,3,6,6,0,2,5
10385543,5,10,5,1,1,0
10385531,5,8,7,1,3,0
10385532,3,14,3,1,12,1
10385538,3,6,6,0,2,5
10385531,5,8,7,1,3,0
10385567,2,9,9,0,1,0
10385563,5,9,6,0,2,0
10385547,14,2,1,2,1,1
10385556,2,3,2,2,1,2
10385552,10,4,6,0,0,0
10385742,12,2,6,2,0,1
10385557,11,3,6,1,0,1
10385554,14,3,3,2,1,1
10385568,4,6,10,0,1,1
10385567,2,9,9,0,1,0
10385563,5,9,6,0,2,0
10385547,14,2,1,2,1,1
10385556,2,3,2,2,1,2
10385552,10,4,6,0,0,0
10385742,12,2,6,2,0,1
10385557,11,3,6,1,0,1
10385554,14,3,3,2,1,1
10385568,4,6,10,0,1,1
10385551,6,5,1,1,2,0
10385563,5,9,6,0,2,0
10385568,4,6,10,0,1,1
10385551,6,5,1,1,2,0
10385588,0,1,5,0,0,4
10385758,6,6,8,0,0,1
10385559,6,5,4,2,1,1
10385585,4,11,5,2,6,1
10385574,15,4,1,2,0,0
10385759,3,4,2,0,0,1
10385588,0,1,5,0,0,4
10385758,6,6,8,0,0,1
10385559,6,5,4,2,1,1
10385582,13,2,5,13,1,1
10385590,2,3,3,3,0,1
10385585,4,11,5,2,6,1
10385564,8,9,3,1,5,2
10385574,15,4,1,2,0,0
10385759,3,4,2,0,0,1
10385582,13,2,5,13,1,1
10385590,2,3,3,3,0,1
10385573,4,11,5,0,2,0
10385564,8,9,3,1,5,2
10385599,1,11,8,1,5,1
10385573,4,11,5,0,2,0
10385569,2,15,3,0,2,1
10385600,3,5,3,0,1,1
10385577,6,4,8,1,1,1
10385757,9,7,4,3,1,0
10385599,1,11,8,1,5,1
10385744,15,3,2,4,0,0
10385576,5,10,5,3,5,1
10385608,9,4,7,2,0,2
10385595,10,4,2,3,0,0
10385750,7,8,5,1,2,0
10385569,2,15,3,0,2,1
10385600,3,5,3,0,1,1
10385577,6,4,8,1,1,1
10385757,9,7,4,3,1,0
10385744,15,3,2,4,0,0
10385576,5,10,5,3,5,1
10385608,9,4,7,2,0,2
10385595,10,4,2,3,0,0
10385750,7,8,5,1,2,0
10385576,5,10,5,3,5,1
10385609,1,13,6,2,1,1
10385746,7,9,4,1,2,1
10385591,8,5,4,0,0,0
10385747,2,5,3,1,2,0
10385598,13,6,1,4,1,1
10385609,1,13,6,2,1,1
10385605,14,4,2,2,0,0
10385618,5,10,5,2,2,5
10385603,9,8,3,3,4,0
10385746,7,9,4,1,2,1
10385591,8,5,4,0,0,0
10385747,2,5,3,1,2,0
10385598,13,6,1,4,1,1
10385605,14,4,2,2,0,0
10385611,4,12,4,0,1,1
10385618,5,10,5,2,2,5
10385603,9,8,3,3,4,0
10385598,13,6,1,4,1,1
10385614,6,8,6,0,1,0
10385611,4,12,4,0,1,1
10385618,5,10,5,2,2,5
10385614,6,8,6,0,1,0
10385627,5,9,1,1,4,0
10385639,5,14,1,0,3,0
10385745,7,9,4,2,0,0
10385624,5,3,4,1,0,3
10385635,1,5,1,1,4,1
10385626,5,6,8,0,0,0
10385623,9,8,3,2,3,0
10385627,5,9,1,1,4,0
10385639,5,14,1,0,3,0
10385615,13,2,5,0,0,0
10385745,7,9,4,2,0,0
10385641,11,6,3,3,1,0
10385624,5,3,4,1,0,3
10385635,1,5,1,1,4,1
10385626,5,6,8,0,0,0
10385623,9,8,3,2,3,0
10385634,4,8,8,1,3,3
10385615,13,2,5,0,0,0
10385641,11,6,3,3,1,0
10385623,9,8,3,2,3,0
10385634,4,8,8,1,3,3
10385615,13,2,5,0,0,0
10385648,7,7,6,2,1,0
10385648,7,7,6,2,1,0
10385748,5,8,6,0,1,1
10385629,4,16,0,0,2,2
10385657,9,8,3,2,3,2
10385749,8,9,3,3,3,1
10385659,9,3,4,0,2,2
10385656,10,8,2,3,1,0
10385661,7,7,1,2,1,0
10385642,6,6,8,0,1,1
10385748,5,8,6,0,1,1
10385629,4,16,0,0,2,2
10385657,9,8,3,2,3,2
10385749,8,9,3,3,3,1
10385659,9,3,4,0,2,2
10385656,10,8,2,3,1,0
10385661,7,7,1,2,1,0
10385642,6,6,8,0,1,1
10385631,6,7,7,1,2,0
10385656,10,8,2,3,1,0
10385631,6,7,7,1,2,0
10385649,5,4,5,1,0,0
10385689,6,1,1,4,0,1
10385760,12,4,4,0,0,0
10385687,13,3,4,3,1,0
10385686,5,9,4,4,5,2
10385695,14,3,3,9,1,2
10385653,3,10,1,0,4,1
10385649,5,4,5,1,0,0
10385689,6,1,1,4,0,1
10385760,12,4,4,0,0,0
10385762,2,11,7,1,3,1
10385687,13,3,4,3,1,0
10385686,5,9,4,4,5,2
10385644,4,11,5,4,5,2
10385695,14,3,3,9,1,2
10385653,3,10,1,0,4,1
10385761,3,7,8,0,0,1
10385762,2,11,7,1,3,1
10385687,13,3,4,3,1,0
10385686,5,9,4,4,5,2
10385644,4,11,5,4,5,2
10385761,3,7,8,0,0,1
10385682,6,9,4,1,1,1
10385704,7,8,5,1,0,2
10385700,3,14,3,0,2,0
10385680,5,14,1,2,1,0
10385696,1,4,3,1,1,1
10385682,6,9,4,1,1,1
10385753,10,2,8,2,0,0
10385704,7,8,5,1,0,2
10385693,11,5,4,1,3,1
10385705,8,5,3,0,0,0
10385692,6,10,4,2,2,3
10385700,3,14,3,0,2,0
10385680,5,14,1,2,1,0
10385696,1,4,3,1,1,1
10385753,10,2,8,2,0,0
10385752,8,7,5,12,11,6
10385693,11,5,4,1,3,1
