id,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm
10385741,,0,,,,0,,
10385483,,0,,,,0,,
10385491,,0,,,,0,,
10385509,,0,,,,0,,
10385501,,0,,,,0,,
10385502,,0,,,,0,,
10385511,,0,,,,0,,
10385498,,0,,,,0,,
10385518,,0,,,,0,,
10385483,,0,,,,0,,
10385491,,0,,,,0,,
10385509,,0,,,,0,,
10385501,,0,,,,0,,
10385511,,0,,,,0,,
10385498,,0,,,,0,,
10385518,,0,,,,0,,
10385514,,0,,,,0,,
10385491,,0,,,,0,,
10385511,,0,,,,0,,
10385514,,0,,,,0,,
10385503,6.70,16,0,0.0,6.80,15,0,0.0
10385500,7.15,4,3,3.0,6.93,12,1,1.0
10385530,7.24,2,3,3.0,7.14,5,3,3.0
10385510,6.74,11,1,1.0,6.76,16,0,0.0
10385503,6.70,16,0,0.0,6.80,15,0,0.0
10385527,6.99,15,0,0.0,6.93,11,1,1.0
10385743,7.08,6,3,3.0,7.41,3,3,3.0
10385737,6.54,20,0,0.0,6.78,7,3,3.0
10385528,6.61,18,0,0.0,6.49,19,0,0.0
10385500,7.15,4,3,3.0,6.93,12,1,1.0
10385530,7.24,2,3,3.0,7.14,5,3,3.0
10385510,6.74,11,1,1.0,6.76,16,0,0.0
10385525,7.11,8,3,3.0,7.15,7,3,3.0
10385527,6.99,15,0,0.0,6.93,11,1,1.0
10385743,7.08,6,3,3.0,7.41,3,3,3.0
10385737,6.54,20,0,0.0,6.78,7,3,3.0
10385528,6.61,18,0,0.0,6.49,19,0,0.0
10385525,7.11,8,3,3.0,7.15,7,3,3.0
10385740,6.74,13,1,1.0,6.54,18,0,0.0
10385528,6.61,18,0,0.0,6.49,19,0,0.0
10385740,6.74,13,1,1.0,6.54,18,0,0.0
10385739,6.96,4,4,2.0,6.92,14,1,0.5
10385520,6.71,15,1,0.5,6.85,9,3,1.5
10385519,6.76,13,3,1.5,7.05,3,6,3.0
10385539,6.87,13,2,1.0,6.90,4,4,2.0
10385543,6.80,7,4,2.0,7.02,8,4,2.0
10385537,6.75,18,0,0.0,6.81,10,3,1.5
10385738,6.70,14,1,0.5,6.70,17,1,0.5
10385739,6.96,4,4,2.0,6.92,14,1,0.5
10385538,6.65,19,0,0.0,6.98,9,4,2.0
10385520,6.71,15,1,0.5,6.85,9,3,1.5
10385519,6.76,13,3,1.5,7.05,3,6,3.0
10385539,6.87,13,2,1.0,6.90,4,4,2.0
10385543,6.80,7,4,2.0,7.02,8,4,2.0
10385537,6.75,18,0,0.0,6.81,10,3,1.5
10385532,7.22,8,4,2.0,7.24,5,6,3.0
10385738,6.70,14,1,0.5,6.70,17,1,0.5
10385538,6.65,19,0,0.0,6.98,9,4,2.0
10385543,6.80,7,4,2.0,7.02,8,4,2.0
10385531,6.62,19,0,0.0,6.83,15,2,1.0
10385532,7.22,8,4,2.0,7.24,5,6,3.0
10385538,6.65,19,0,0.0,6.98,9,4,2.0
10385531,6.62,19,0,0.0,6.83,15,2,1.0
10385567,6.78,11,4,1.3333333333333333,6.76,14,3,1.0
10385563,6.84,15,3,1.0,6.63,20,0,0.0
10385547,6.81,16,2,0.6666666666666666,6.70,15,3,1.0
10385556,6.87,9,4,1.3333333333333333,6.78,17,1,0.3333333333333333
10385552,6.90,12,4,1.3333333333333333,6.65,19,1,0.3333333333333333
10385742,7.06,3,9,3.0,6.84,11,5,1.6666666666666667
10385557,7.04,5,7,2.3333333333333335,6.91,3,7,2.3333333333333335
10385554,7.19,2,7,2.3333333333333335,6.78,10,4,1.3333333333333333
10385568,6.88,18,1,0.3333333333333333,7.11,10,5,1.6666666666666667
10385567,6.78,11,4,1.3333333333333333,6.76,14,3,1.0
10385563,6.84,15,3,1.0,6.63,20,0,0.0
10385547,6.81,16,2,0.6666666666666666,6.70,15,3,1.0
10385556,6.87,9,4,1.3333333333333333,6.78,17,1,0.3333333333333333
10385552,6.90,12,4,1.3333333333333333,6.65,19,1,0.3333333333333333
10385742,7.06,3,9,3.0,6.84,11,5,1.6666666666666667
10385557,7.04,5,7,2.3333333333333335,6.91,3,7,2.3333333333333335
10385554,7.19,2,7,2.3333333333333335,6.78,10,4,1.3333333333333333
10385568,6.88,18,1,0.3333333333333333,7.11,10,5,1.6666666666666667
10385551,6.85,12,4,1.3333333333333333,7.01,4,7,2.3333333333333335
10385563,6.84,15,3,1.0,6.63,20,0,0.0
10385568,6.88,18,1,0.3333333333333333,7.11,10,5,1.6666666666666667
10385551,6.85,12,4,1.3333333333333333,7.01,4,7,2.3333333333333335
10385588,6.66,12,4,1.0,6.88,10,5,1.25
10385758,6.87,5,7,1.75,6.84,18,2,0.5
