id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
10385741,7,42,0,0,1,2
10385502,43,44,1,2,0,2
10385483,60,40,1,2,0,0
10385501,34,3,1,2,1,1
10385498,39,14,0,2,0,0
10385518,33,45,2,4,1,1
10385509,48,38,0,0,1,1
10385491,31,50,1,2,0,2
10385511,35,30,0,1,2,2
10385483,60,40,1,2,0,0
10385501,34,3,1,2,1,1
10385498,39,14,0,2,0,0
10385518,33,45,2,4,1,1
10385509,48,38,0,0,1,1
10385491,31,50,1,2,0,2
10385511,35,30,0,1,2,2
10385514,37,17,0,0,1,2
10385491,31,50,1,2,0,2
10385511,35,30,0,1,2,2
10385514,37,17,0,0,1,2
10385503,40,48,1,2,0,1
10385503,40,48,1,2,0,1
10385500,42,31,2,4,0,2
10385743,30,39,0,0,0,0
10385530,17,60,3,4,0,0
10385737,45,34,0,2,0,2
10385527,3,43,0,0,0,0
10385510,50,35,4,4,0,0
10385528,14,37,1,1,0,0
10385500,42,31,2,4,0,2
10385743,30,39,0,0,0,0
10385530,17,60,3,4,0,0
10385737,45,34,0,2,0,2
10385527,3,43,0,0,0,0
10385510,50,35,4,4,0,0
10385528,14,37,1,1,0,0
10385525,38,33,1,2,0,2
10385528,14,37,1,1,0,0
10385525,38,33,1,2,0,2
10385740,44,7,0,1,1,1
10385740,44,7,0,1,1,1
10385739,33,3,0,1,0,0
10385739,33,3,0,1,0,0
10385520,7,40,1,3,1,1
10385537,48,14,0,1,0,1
10385539,43,50,2,3,1,2
10385738,31,45,0,1,0,2
10385519,60,42,0,0,2,3
10385543,34,38,2,3,0,0
10385538,37,30,0,0,1,2
10385520,7,40,1,3,1,1
10385537,48,14,0,1,0,1
10385539,43,50,2,3,1,2
10385738,31,45,0,1,0,2
10385519,60,42,0,0,2,3
10385543,34,38,2,3,0,0
10385538,37,30,0,0,1,2
10385532,39,17,2,3,1,3
10385543,34,38,2,3,0,0
10385538,37,30,0,0,1,2
10385532,39,17,2,3,1,3
10385531,35,44,1,2,0,1
10385531,35,44,1,2,0,1
10385567,45,35,0,0,0,1
10385567,45,35,0,0,0,1
10385556,50,48,0,1,1,1
10385557,30,34,0,1,0,0
10385552,38,31,0,2,0,1
10385547,44,60,5,9,0,0
