id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
11352251,9,4,2,2,2,0
11352255,8,4,8,1,4,0
11352250,5,5,4,0,0,1
11352253,11,6,3,2,4,1
11352252,1,2,1,1,0,0
11352303,1,17,2,0,2,0
11352254,5,6,2,0,2,0
11352309,1,2,3,0,0,1
11352316,4,8,8,1,6,5
11352327,12,4,4,3,0,0
11352367,14,2,1,2,0,0
11352358,5,9,3,1,2,0
11352428,3,8,8,0,3,0
11352337,8,7,5,5,1,0
11352377,0,2,1,1,2,0
11352407,6,12,2,1,0,0
11352389,14,3,3,12,1,1
11352399,7,4,7,2,0,2
11352346,3,11,6,0,3,2
11352475,2,4,6,0,1,0
11352437,2,9,2,0,1,0
11352456,1,0,5,1,0,1
11352495,6,7,6,1,1,0
11352447,12,2,6,2,0,1
11352484,3,0,0,1,0,0
11352524,0,8,2,0,2,0
11352504,10,1,2,5,0,0
11352466,6,3,6,1,1,0
11352543,8,5,6,0,0,1
11352570,7,3,4,0,1,0
11352578,9,7,2,2,0,0
11352597,2,5,3,1,0,1
11352594,17,0,3,12,0,0
11352584,13,5,2,7,1,2
11352590,0,1,1,0,1,0
11352551,7,5,6,1,1,0
11352561,3,13,4,0,1,0
11352602,9,7,4,1,0,0
11352600,4,10,2,0,0,1
11352615,6,1,1,4,0,1
11352626,4,14,2,1,1,0
11352608,3,0,2,1,0,0
11352611,10,6,0,1,2,0
11352621,5,3,4,1,0,0
11352625,1,16,3,1,11,3
11352600,4,10,2,0,0,1
11352605,6,13,1,2,3,3
11352618,3,9,6,0,1,1
11352627,7,7,6,0,0,1
11352631,14,5,1,3,6,3
11352629,5,8,4,1,0,0
11352628,2,3,2,1,3,0
11352632,4,4,5,1,1,4
11352633,13,4,3,10,1,1
11352634,1,0,2,0,0,1
11352635,2,3,3,3,0,1
11352630,2,11,5,0,2,0
11352638,8,1,5,3,0,0
11352637,1,11,2,0,1,0
11352643,4,9,4,1,5,4
11352644,2,12,6,1,0,0
11352639,0,1,0,0,1,0
11352646,5,14,1,0,0,0
11352641,12,4,4,1,1,0
11352642,7,3,4,1,0,0
11352645,4,4,4,1,0,0
11352643,4,9,4,1,5,4
11352640,1,13,6,0,3,3
11626262,0,2,1,1,2,0
11352656,8,5,7,0,1,1
11352651,7,6,2,1,0,0
11352654,4,1,1,2,1,0
11352649,2,12,4,0,1,0
11352652,6,4,2,1,2,0
11352648,3,9,4,2,0,2
11352653,0,1,0,0,1,0
11352655,5,10,5,2,2,5
11352650,3,10,5,0,0,2
11352661,5,10,5,0,0,1
11352657,3,4,2,0,1,0
11352660,2,3,0,1,0,0
11352663,12,2,1,2,0,1
11352662,11,1,8,10,2,2
11352665,2,2,3,0,0,1
11352666,1,8,1,0,1,0
11352664,9,4,7,2,3,2
11352658,5,9,6,1,1,1
11352666,1,8,1,0,1,0
11352667,15,3,2,1,1,0
11352669,7,2,2,2,0,0
11352668,4,7,2,1,0,0
11352672,4,3,2,0,1,0
11352676,8,9,3,2,5,3
11352677,4,6,10,0,1,3
11352673,4,14,2,1,1,0
11352669,7,2,2,2,0,0
11352668,4,7,2,1,0,0
11352672,4,3,2,0,1,0
11352676,8,9,3,2,5,3
11352671,5,6,4,0,1,1
11352674,7,2,3,3,1,0
11352670,1,1,0,1,0,0
11352675,8,10,2,1,3,0
11352677,4,6,10,0,1,3
11352314,3,16,1,2,3,2
11352312,14,0,0,1,0,0
11352304,5,3,0,5,1,0
11352305,8,8,4,0,1,0
11352306,6,4,3,1,0,1
11352307,2,15,3,0,4,0
11352320,3,7,2,1,0,0
11352314,3,16,1,2,3,2
11352317,3,7,8,1,1,0
11352312,14,0,0,1,0,0
11352304,5,3,0,5,1,0
11352305,8,8,4,0,1,0
11352306,6,4,3,1,0,1
11352307,2,15,3,0,4,0
11352310,0,0,1,0,0,1
11352320,3,7,2,1,0,0
11352323,5,12,3,0,1,0
