id,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm
11352251,,0,,,,0,,
11352255,,0,,,,0,,
11352250,,0,,,,0,,
11352253,,0,,,,0,,
11352252,,0,,,,0,,
11352303,,0,,,,0,,
11352254,,0,,,,0,,
11352309,,0,,,,0,,
11352316,,0,,,,0,,
11352327,,0,,,,0,,
11352367,6.97,13,1,1.0,6.79,11,1,1.0
11352358,7.23,6,3,3.0,6.81,9,1,1.0
11352428,7.23,16,0,0.0,7.27,2,3,3.0
11352337,6.67,19,0,0.0,6.92,15,0,0.0
11352377,,0,,,,0,,
11352407,7.24,11,1,1.0,7.09,8,3,3.0
11352389,7.33,6,3,3.0,7.37,5,3,3.0
11352399,6.75,14,0,0.0,6.77,16,0,0.0
11352346,7.53,9,3,3.0,7.12,8,3,3.0
11352475,6.53,18,0,0.0,6.94,13,3,1.5
11352437,6.77,15,1,0.5,7.21,6,4,2.0
11352456,7.01,5,4,2.0,7.20,12,3,1.5
11352495,6.65,19,0,0.0,6.96,18,0,0.0
11352447,7.09,4,6,3.0,6.90,14,3,1.5
11352484,7.03,15,1,0.5,6.63,17,0,0.0
11352524,6.73,17,0,0.0,7.35,5,6,3.0
11352504,7.00,13,3,1.5,6.88,11,3,1.5
11352466,7.27,3,6,3.0,7.00,8,4,2.0
11352543,6.98,9,5,1.6666666666666667,6.76,17,1,0.3333333333333333
11352570,7.16,10,4,1.3333333333333333,6.89,14,3,1.0
11352578,7.14,12,4,1.3333333333333333,6.98,15,3,1.0
11352597,6.71,17,0,0.0,6.77,19,0,0.0
11352594,7.39,2,9,3.0,6.86,12,4,1.3333333333333333
11352584,6.95,5,7,2.3333333333333335,6.96,8,6,2.0
11352590,6.65,19,0,0.0,7.09,2,7,2.3333333333333335
11352551,7.19,6,6,2.0,6.98,14,3,1.0
11352561,6.61,19,0,0.0,7.25,3,7,2.3333333333333335
11352602,6.89,10,6,1.5,7.13,7,7,1.75
11352600,6.75,16,2,0.5,7.10,14,4,1.0
11352615,6.90,14,3,0.75,6.98,10,6,1.5
11352626,6.98,15,3,0.75,6.98,3,10,2.5
11352608,6.69,13,4,1.0,6.69,19,0,0.0
11352611,6.93,11,6,1.5,7.15,6,9,2.25
11352621,7.25,3,10,2.5,6.75,17,1,0.25
11352625,7.10,4,10,2.5,7.38,2,12,3.0
11352600,6.75,16,2,0.5,7.10,14,4,1.0
11352605,6.87,18,1,0.25,7.13,5,10,2.5
11352618,6.90,12,6,1.5,6.59,19,0,0.0
11352627,7.13,4,13,2.6,7.25,2,13,2.6
11352631,7.11,14,5,1.0,6.94,7,9,1.8
11352629,7.12,5,12,2.4,6.82,17,3,0.6
