id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
11352303,6,17,0,0,2,0
11352251,42,14,2,2,0,2
11352250,60,37,0,1,0,1
11352252,30,72,1,4,0,4
11352253,48,43,0,0,0,0
11352254,15,7,0,0,0,0
11352255,39,40,2,5,1,5
11352309,50,33,2,2,2,2
11352251,42,14,2,2,0,2
11352250,60,37,0,1,0,1
11352252,30,72,1,4,0,4
11352253,48,43,0,0,0,0
11352254,15,7,0,0,0,0
11352255,39,40,2,5,1,5
11352309,50,33,2,2,2,2
11352316,38,44,1,1,1,1
11352327,35,3,0,1,0,1
11352399,14,15,1,2,0,2
11352358,43,50,0,0,1,0
11352367,44,60,2,3,1,3
11352428,3,30,0,1,1,1
11352407,33,35,0,2,0,2
11352389,17,39,1,1,0,1
11352337,40,48,2,4,0,4
11352346,7,42,0,0,0,0
11352484,38,72,1,3,0,3
11352437,60,33,0,0,1,0
11352447,42,43,0,2,1,2
11352456,50,7,1,1,0,1
11352495,48,3,0,0,0,0
11352504,35,14,1,3,2,3
11352466,30,37,0,1,1,1
11352475,6,40,0,1,2,1
11352524,15,17,0,1,0,1
11352590,72,37,0,1,1,1
11352597,15,48,2,2,1,2
11352543,50,60,1,2,1,2
11352561,6,33,1,2,2,2
11352570,38,14,0,0,0,0
11352594,17,43,2,5,1,5
11352551,30,39,1,3,0,3
11352578,7,3,0,3,0,3
11352584,44,40,2,3,0,3
11352626,3,44,1,1,0,1
11352602,40,7,0,3,0,3
11352608,43,72,0,1,0,1
11352611,35,30,0,1,1,1
11352621,33,15,0,2,0,2
11352625,37,17,1,1,0,1
11352615,39,50,0,1,0,1
11352600,60,38,0,0,0,0
11352602,40,7,0,3,0,3
11352608,43,72,0,1,0,1
11352611,35,30,0,1,1,1
11352621,33,15,0,2,0,2
11352625,37,17,1,1,0,1
11352615,39,50,0,1,0,1
11352600,60,38,0,0,0,0
11352605,48,42,0,0,0,0
11352618,14,6,0,1,1,1
11352632,7,43,0,0,0,0
11352634,72,3,0,1,0,1
11352635,17,14,2,2,0,2
11352628,50,48,1,1,1,1
11352630,6,35,0,0,1,0
11352627,42,33,1,2,1,2
11352629,30,60,1,3,1,3
11352631,38,40,0,0,0,0
11352633,44,37,1,3,1,3
11352638,40,30,3,6,0,6
11352637,60,42,0,0,2,0
11352639,48,72,1,1,2,1
11352641,35,7,0,0,1,0
11352642,39,6,1,2,0,2
11352645,37,15,2,2,0,2
11352646,3,17,1,2,0,2
11352644,33,44,1,2,1,2
11352643,14,50,0,1,0,1
11352637,60,42,0,0,2,0
11352639,48,72,1,1,2,1
11352641,35,7,0,0,1,0
11352642,39,6,1,2,0,2
11352645,37,15,2,2,0,2
11352646,3,17,1,2,0,2
11352644,33,44,1,2,1,2
11352643,14,50,0,1,0,1
11352640,43,38,0,0,2,0
11626262,72,6,0,1,1,1
11352653,72,33,0,0,0,0
11352649,6,38,1,1,1,1
11352651,48,60,2,3,0,3
11352652,43,15,0,3,0,3
11352654,35,50,0,2,1,2
11352650,7,14,0,0,0,0
11352648,30,44,1,2,2,2
11352655,37,39,1,2,0,2
11352656,3,40,0,1,0,1
11352662,44,48,0,2,0,2
11352657,60,3,1,1,0,1
11352660,50,6,1,3,0,3
11352663,17,30,2,2,0,2
11352664,39,7,3,4,0,4
11352665,14,72,0,2,0,2
11352661,38,42,1,2,0,2
11352666,15,35,1,1,1,1
11352657,60,3,1,1,0,1
11352660,50,6,1,3,0,3
11352663,17,30,2,2,0,2
11352664,39,7,3,4,0,4
11352665,14,72,0,2,0,2
11352661,38,42,1,2,0,2
11352666,15,35,1,1,1,1
11352658,40,37,1,4,0,4
11352667,33,43,1,2,0,2
11352673,7,33,0,1,0,1
11352672,38,50,0,0,0,0
11352669,42,15,1,5,0,5
11352668,60,6,1,2,1,2
11352677,3,39,1,2,2,2
11352676,37,48,0,0,0,0
11352669,42,15,1,5,0,5
11352668,60,6,1,2,1,2
11352677,3,39,1,2,2,2
11352676,37,48,0,0,0,0
11352670,40,72,1,3,0,3
11352671,30,43,1,1,0,1
11352674,44,14,2,3,0,3
11352675,35,17,0,0,1,0
11352307,43,35,0,0,0,0
11352304,50,37,1,3,2,3
11352305,6,7,0,0,1,0
11352306,48,30,1,1,0,1
11352312,17,60,3,6,0,6
11352320,15,3,0,2,0,2
11352314,39,42,0,1,0,1
11352307,43,35,0,0,0,0
11352304,50,37,1,3,2,3
11352305,6,7,0,0,1,0
11352306,48,30,1,1,0,1
11352312,17,60,3,6,0,6
11352320,15,3,0,2,0,2
11352314,39,42,0,1,0,1
11352317,14,40,1,2,0,2
11352310,72,44,0,1,0,1
11352323,33,38,1,1,1,1
